Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,22.7272727273,20.4545454545,22.7272727273,20.4545454545,25,25,22.7272727273,22.7272727273,25,25,25,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,15.9090909091,18.1818181818,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,20.4545454545,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,60.0842195697,60.3579657134,60.7202270153,61.0505968265,61.5669786392,61.7203181339,62.0553740416,61.8071410906,62.3436991526,62.7139007849,62.9047290525,63.0614529503,63.3946864871,63.4871067259,63.3712560041,63.493094516,62.3004829283,62.0296005103,62.543378936,62.8621636749,62.8380823451,62.2314931726,61.3260351718,61.5751793083,61.5648959296,61.2947945277,61.31236739,61.4767712794,60.7991096416,60.4611900082,60.2650247973,60.6820873957,59.9151295836,61.0624422374,60.3137081343,60.5575153274,60.1642737201,60.3707223097,59.0616091535,59.2921390729,59.318172943,58.1856995952,57.2094294677,57.2888327714,57.9447561277,56.61390469,55.3804199263,54.3181078583,53.243039194,51.8828996524,53.3268161879,52.7802871536,51.6271559299,52.8837717871,47.6306574854,,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.0540082344,42.7585371761,42.2596270283,42.0985710826,41.9496246064,41.2448534754,40.8537176072,40.6793412449,40.5800435941,40.3947687091,40.214337612,40.0472269315,39.019132962,38.8387018649,38.6231533059,38.5504964883,38.4790506176,38.5178009203,38.0588520223,38.03584403,38.2102203923,38.0564301284,36.6420440785,36.7304432066,36.7825139259,36.6529426011,36.6674739646,36.9132961976,36.9411479777,36.6178251393,36.7752482441,36.4858319206,36.3162993461,36.256962945,36.0995398402,36.0050859772,35.8997335917,35.8428190845,35.7859045774,35.6042625333,35.3124243158,35.1441026883,34.9386049891,34.722693146,34.5943327682,34.4308549286,34.2718399574,34.0211678655,33.8467872799,33.658306185,33.3971245503,33.1322528285,32.9136930366,32.8902245435,32.9417253372,,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4289868657,53.55396133,53.9072545273,53.9445065311,54.3903288991,55.1413773628,56.3483849227,56.7365939181,57.3863567581,57.4500024212,57.4317945242,57.5255287228,57.5152409522,57.5683522865,57.5529121338,57.5645354537,57.5683493289,57.5790951563,57.6703445606,57.6919354448,57.6870962278,57.7045451796,57.7005431693,57.7017529003,,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.3317757009,61.9158878505,62.46105919,62.5,63.2398753894,63.1230529595,64.8753894081,65.2647975078,73.8707165109,73.2087227414,73.9485981308,74.2211838006,77.8816199377,79.0498442368,80.2180685358,81.5809968847,83.4501557632,82.554517134,81.7757009346,81.308411215,80.8021806854,80.2180685358,80.2180685358,80.2180685358,80.2180685358,81.0747663551,81.4641744548,81.9704049844,81.9704049844,82.1651090343,82.1651090343,82.554517134,82.6713395639,80.7242990654,79.3224299065,77.6090342679,76.0124610592,74.4937694704,73.4813084112,72.7024922118,72.0794392523,71.4174454829,71.3785046729,71.9626168224,70.8333333333,69.4314641745,67.484423676,69.4314641745,71.3785046729,71.3785046729,73.3255451713,75.2725856698,79.1666666667,79.1666666667,79.1277258567,,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.891677675,45.7992073976,45.8751651255,45.9775429326,45.9478203435,45.6737120211,45.5746367239,45.142007926,45.0891677675,45.0330250991,44.7721268164,44.1116248349,43.9894319683,44.1380449141,43.9663143989,43.857331572,,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,12.788222774,12.965590635,13.1429584959,13.3203263569,13.4976942178,13.7637460092,14.1184817311,14.3845335225,15.1383469315,15.3157147925,15.7591344448,16.0251862363,16.2025540972,16.4686058886,16.8233416105,17.0893934019,17.3554451933,17.5328130543,17.7101809152,17.9762327066,18.242284498,18.5349414686,18.6236253991,18.7123093295,18.8896771905,19.4217807733,19.5104647038,19.5991486343,19.6878325647,20.1312522171,20.2199361476,20.3529620433,20.5746718695,21.2841433132,22.3483504789,24.0333451579,25.6296559063,27.0485987939,27.5807023767,28.3345157857,28.955303299,29.8421426038,30.7467186946,31.6335579993,31.2167435261,29.5760908123,29.6204327776,30.5516140475,29.7091167081,30.5072720823,31.3054274565,32.8130542746,33.2564739269,33.2564739269,33.2564739269,,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,29.7478070175,29.7843567251,29.8209064327,29.8574561404,29.894005848,29.9342105263,29.9707602339,30.0073099415,30.0511695906,30.1023391813,30.0438596491,30.3435672515,30.6030701754,30.8954678363,31.1988304094,31.3779239766,31.5606725146,31.7434210526,31.9261695906,32.1089181287,32.2916666667,32.4744152047,32.6571637427,32.8399122807,33.0226608187,33.2054093567,33.4064327485,34.9561403509,35.0877192982,34.9963450292,34.9049707602,34.8135964912,34.7222222222,34.4700292398,34.5394736842,34.9049707602,36.0014619883,36.4400584795,36.4400584795,35.7090643275,38.6330409357,39.3640350877,40.8260233918,38.9985380117,40.0950292398,39.3640350877,40.0950292398,44.115497076,43.019005848,44.1520467836,43.0921052632,44.2251461988,44.9561403509,44.2251461988,44.2251461988,,
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,,72.8278405162,72.8047937313,72.8278405162,73.1351309826,74.0339555965,74.1338249981,74.4795267727,74.2797879696,74.3258815395,74.494891296,74.4795267727,76.7534762234,76.7381117001,76.7381117001,76.853345625,76.807252055,76.7534762234,76.7227471768,76.6920181301,76.7227471768,76.6766536068,76.6536068218,76.5460551586,77.2835522778,77.0300376431,77.1375893063,77.706076669,80.1029423062,80.2258584927,79.7879695782,79.2809403088,73.3579165706,72.5666436199,71.890604594,72.0135207805,71.6524544826,71.9443804256,72.47445648,72.8739340862,72.2132595836,72.2363063686,71.8521932857,71.6601367443,71.621725436,71.5295382961,71.2913881847,71.1838365215,71.0839671199,71.0301912883,70.99177998,70.1236844127,70.0622263194,69.9700391795,69.9008988246,70.6323269571,,
Bulgaria,BGR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,51.2790382356,51.3875079092,51.459821025,52.1739130435,52.3637349724,52.4450872277,52.9964747356,53.1591792461,54.433697912,54.3252282383,54.3161890988,54.433697912,54.072132333,54.5783241435,53.8280755672,56.0245864594,56.0968995752,56.1420952725,56.0968995752,55.8709210883,55.8528428094,55.8799602278,55.8347645304,55.789568833,55.7624514146,55.7353339962,55.7353339962,55.6991774383,55.7534122752,55.6720600199,55.6901382988,55.6268643225,55.3285727199,55.6720600199,55.7172557173,55.7172557173,56.0697821567,51.0259423303,51.3332730724,50.4564765434,49.6971888276,48.9430147059,48.9657074561,49.0069878632,48.4628129602,47.7768572218,47.1043182027,46.966209373,46.3338246131,46.5364775239,46.868091378,47.1904937362,46.011422255,45.8456153279,46.1670965365,,
Bahrain,BHR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,10.1449275362,11.5942028986,14.4927536232,14.4927536232,14.4927536232,14.4927536232,14.4927536232,13.0434782609,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,11.5942028986,12.676056338,12.676056338,12.676056338,12.676056338,12.676056338,12.676056338,12.676056338,14.0845070423,12.9577464789,12.9577464789,12.9577464789,12.3611111111,11.9178082192,11.7567567568,11.5540540541,11.2,10.7894736842,11,11.2860892388,11.2125162973,11.1688311688,11.1688311688,11.1543450065,11.1543450065,,
"Bahamas, The",BHS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.0989010989,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.1988011988,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.2987012987,1.4985014985,1.4985014985,1.3986013986,1.3986013986,1.3986013986,1.3986013986,1.3986013986,,
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.96875,42.7734375,42.578125,42.48046875,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.1484375,42.2265625,42.63671875,,
Belarus,BLR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2975744429,46.1151646618,46.0757247091,46.0412147505,46.011634786,45.8785249458,45.8834549399,45.7552750937,45.6123052652,45.0009859988,44.4953902283,44.3031109796,44.1644889305,44.1206922053,44.1498275012,43.9428289798,43.947757516,44.0143970023,43.8541153277,43.7386033217,43.3492681484,43.0042876152,42.541028042,42.2946133754,,
Belize,BLZ,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.4633932486,3.4633932486,3.5072336694,3.5072336694,3.5072336694,3.5510740903,3.5510740903,3.5510740903,3.5949145112,3.5949145112,3.638754932,3.638754932,3.6825953529,3.6825953529,3.7264357738,3.7264357738,3.7702761947,4.0771591407,4.1209995616,4.2086804033,4.2525208242,4.2525208242,4.2525208242,4.2525208242,4.4278825077,4.5155633494,4.9101271372,5.0416483998,5.2608505042,5.5238930294,5.6992547128,5.9622972381,6.2691801841,6.2691801841,6.4007014467,6.4445418676,6.4883822885,6.4883822885,6.5760631302,6.5322227093,6.5322227093,6.6637439719,6.6637439719,6.6637439719,6.6637439719,6.6637439719,6.6637439719,6.6637439719,6.7952652345,6.8829460763,6.8829460763,7.0144673389,7.0144673389,7.0144673389,7.0144673389,,
Bermuda,BMU,Agricultural land (% of land area),AG.LND.AGRI.ZS,,8,6,6,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,,
Bolivia,BOL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.7319302132,27.6396196806,27.5150004616,27.5805409397,27.6146958368,27.6479276285,27.6820825256,27.7153143174,27.9340902797,27.9673220714,28.370719099,28.865503554,28.9005815564,29.3944429059,29.8901504662,29.9233822579,30.4190898181,30.4523216099,30.9471060648,30.9812609619,31.4769685221,31.5111234192,31.5452783163,32.0474476138,32.019754454,32.4960768024,32.5182313302,32.5394627527,32.7425459245,32.7286993446,33.0434782609,33.0757869473,33.4284131819,33.555801717,33.7856549432,33.8631957906,34.0385858026,34.1382811779,34.2185913413,34.2869011354,34.2989015047,34.4419828302,33.8290408936,33.8013477338,34.1198190714,34.2582848703,34.514908151,34.602603157,34.7761469584,34.6312194221,34.6690667405,34.7050678482,34.7346072187,34.8052247761,34.8052247761,,
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,18.010107512,18.6540306815,19.3237969213,19.8657835356,20.3867128332,20.9489192572,21.4867183369,22.1607917551,23.1843448423,23.378048226,23.8847399062,24.2681984269,24.6300014118,25.1303519683,25.5339106548,25.8439078551,26.1481621509,26.3263118349,26.6223107055,26.8334820905,27.0184514737,27.2950680415,27.3770240747,27.5089912349,27.6426334089,28.0032399553,28.2109416688,28.4377863975,28.6465649056,28.9069099106,29.3056828433,29.5172131599,29.8467123068,30.0806160222,30.9245836992,30.990028882,31.0554740648,31.1207996037,31.1982091709,31.2756187381,31.5219654134,31.809469571,32.1206632098,32.5589186111,32.5948835506,32.6369263975,32.499814552,32.72259139,32.7273771437,32.7181645677,32.9466843101,32.9746809697,33.3576728794,33.8100342899,33.8100342899,,
Barbados,BRB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,44.1860465116,41.8604651163,41.8604651163,41.8604651163,39.5348837209,39.5348837209,37.2093023256,37.2093023256,37.2093023256,37.2093023256,37.2093023256,37.2093023256,34.8837209302,32.5581395349,32.5581395349,32.5581395349,32.5581395349,32.5581395349,,
Brunei Darussalam,BRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.9848197343,3.9848197343,3.9848197343,4.5540796964,4.5540796964,4.3643263757,4.3643263757,4.5540796964,4.5540796964,4.5540796964,3.605313093,3.4155597723,3.4155597723,3.4155597723,3.4155597723,3.2258064516,2.8462998102,2.8462998102,2.8462998102,2.6565464896,2.6565464896,2.4667931689,2.4667931689,2.2770398482,2.2770398482,2.2770398482,2.2770398482,2.2770398482,2.2770398482,2.0872865275,2.0872865275,2.0872865275,2.0872865275,2.0872865275,1.8975332068,1.8975332068,1.8975332068,1.8975332068,1.8975332068,1.8975332068,2.0872865275,2.0872865275,2.0872865275,2.0872865275,2.0872865275,1.954459203,2.1631878558,2.1631878558,2.5426944972,2.5426944972,2.5426944972,2.5426944972,2.7324478178,2.7324478178,2.7324478178,,
Bhutan,BTN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.7263874323,7.7691929029,7.7691929029,7.8119983734,7.8334011087,7.8762065792,7.8762065792,7.9190120497,7.9190120497,8.175844873,8.175844873,8.2400530788,8.2400530788,8.3898722257,8.3898722257,8.5182886373,8.5610941078,8.5610941078,8.6681077842,8.8393296663,8.8393296663,8.9463433427,9.2031761659,9.5028144597,9.5028144597,9.5028144597,9.9522719003,9.845258224,9.6740363418,9.7168418124,10.7869785759,10.7869785759,10.8083813111,12.7889447236,14.1959798995,14.3216080402,14.3718592965,14.3718592965,14.3718592965,13.3165829146,13.4422110553,13.4422110553,13.4924623116,15.3212477372,15.5573628565,15.1376026445,14.770312459,13.6763124065,13.6422068893,13.6422068893,13.631712884,13.631712884,13.631712884,13.7891229635,13.7891229635,,
Botswana,BWA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.8772254866,45.8772254866,45.8772254866,45.8772254866,45.8789899952,45.8789899952,45.8789899952,45.8789899952,45.8789899952,45.8789899952,45.8789899952,45.8807545039,45.8807545039,45.8807545039,45.8807545039,45.8807545039,45.8807545039,45.8807545039,45.8842835213,45.8842835213,45.8842835213,45.8878125386,45.8878125386,45.8878125386,45.8913415559,45.8913415559,45.8948705733,45.8948705733,45.9036931167,45.9142801687,45.702539128,45.6143136944,45.7907645616,45.8701674519,45.7819420182,45.7819420182,45.702539128,45.5790235209,45.5966686076,45.7907645616,45.5260882607,45.605491151,45.5172657174,45.5719654862,45.597550862,45.5296172781,45.4960916133,45.6672489545,45.7325357754,45.6319587811,45.7466518448,45.6778360066,45.6637199372,45.8789899952,45.8789899952,,
Central African Republic,CAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.6053805901,7.6214324697,7.6342739735,7.656746605,7.6727984847,7.6888503644,7.7049022441,7.7209541237,7.7370060034,7.7530578831,7.7691097628,7.7851616424,7.8012135221,7.8172654018,7.8493691611,7.8654210408,7.8814729205,7.8975248002,7.9135766798,7.9376544993,7.9376544993,7.9617323189,7.9777841985,7.9970464541,7.9986516421,8.0323605894,8.0339657774,8.0355709654,8.0355709654,8.0355709654,8.0387813413,8.0580435969,8.0580435969,8.0580435969,8.0419917172,8.0612539728,8.2233779576,8.2651128447,8.2651128447,8.2651128447,8.2651128447,8.2651128447,8.3389514912,8.3710552506,8.3710552506,8.3630293107,8.3630293107,8.3630293107,8.3951330701,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,,
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.6785531659,7.6926291388,7.7067051117,7.720671116,7.7348570574,7.7488230617,7.709234388,7.6695357458,7.6298371036,7.5901384614,7.5505497877,7.5452712979,7.5401027766,7.5349342553,7.529765734,7.5245972127,7.468843164,7.4130891152,7.3572250979,7.3014710491,7.2457170004,7.2882748246,7.3309426173,7.3735004415,7.4161682343,7.4586160899,7.4571864989,7.4556469394,7.4538874428,7.4523478833,7.4506983552,7.457406436,7.4640045483,7.4706026606,7.4772007729,7.4839088537,7.471702346,7.4596058068,7.4473992991,7.4353027599,7.4230962522,7.4247457802,7.4267252139,7.4284847105,7.4304641442,7.2528649553,7.1790100852,7.1051552151,7.0314103135,6.9575554434,6.8837005733,6.8853281076,6.886955642,6.8885831764,6.8902107107,,
Central Europe and the Baltics,CEB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,64.6670283467,64.6253797743,64.540411507,64.5919516066,64.4029405382,64.4417920165,64.3382253208,64.4733808071,64.3404543913,64.2368835115,64.1685769706,63.9990233713,63.815905484,63.7602919035,63.6097283073,63.9017376324,63.8262662435,63.7318068988,63.582842725,63.4575471058,63.2671333225,,,,,,,,,,,57.253926739,56.552203496,56.2401355324,55.7406810769,55.2714070599,55.226849447,54.7603792231,54.707395254,53.4917859496,52.0726992333,50.9978554582,50.144025611,49.4226217017,49.4775606688,49.3568129247,48.3621388284,48.6057956852,48.5461387627,47.6947641456,47.8719178541,47.5160055508,47.7434843927,47.6822775133,47.7707255036,,
Switzerland,CHE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.9258247318,43.8524590164,43.493219996,43.2705929974,43.0479659988,42.8987047156,42.7241449099,42.655838899,42.6887269783,42.3471969237,42.1321594819,42.0663833232,41.8361667679,41.6793159279,41.5857113945,41.5553531674,41.5249949403,41.6135397693,41.9626593807,41.8412264724,41.7172637118,41.5933009512,41.4718680429,41.3493890561,41.2254294316,41.1039995952,40.9825697589,40.8586101343,40.7397100863,40.6208100382,40.4993802019,40.3804801538,40.2615801057,40.1426800577,40.0237800096,39.9413074276,39.8638905052,39.7788797247,39.6989247312,39.6214958,39.5364724338,39.4590354739,39.3765339946,39.3016194332,39.2226327243,39.1426474682,39.0601275433,38.9867395485,38.9082903128,38.834902318,38.7589837028,38.6855957081,38.6096770928,38.5337584776,38.1820022269,,
